#	Time	Error_of_Energy	Error_of_Position	Error_of_Velocity
1.29154954e+00 5.84747493e-09 1.68509821e-07 1.81626798e-07
1.29638681e+00 5.86937542e-09 1.69605927e-07 1.82620180e-07
1.30122407e+00 5.89127617e-09 1.70726706e-07 1.83626581e-07
1.30606134e+00 5.91317692e-09 1.71871876e-07 1.84645833e-07
1.31089860e+00 5.93507767e-09 1.73041133e-07 1.85677757e-07
1.31573587e+00 5.95697817e-09 1.74234154e-07 1.86722164e-07
1.32057313e+00 5.97887866e-09 1.75450590e-07 1.87778851e-07
1.32541039e+00 6.00077941e-09 1.76690076e-07 1.88847607e-07
1.33024766e+00 6.02268029e-09 1.77952226e-07 1.89928208e-07
1.33508492e+00 6.04458053e-09 1.79236633e-07 1.91020418e-07
1.33992219e+00 6.06648153e-09 1.80542877e-07 1.92123999e-07
1.34475945e+00 6.08838228e-09 1.81870514e-07 1.93238697e-07
1.34959672e+00 6.11028265e-09 1.83219085e-07 1.94364250e-07
1.35443398e+00 6.13218353e-09 1.84588112e-07 1.95500387e-07
1.35927124e+00 6.15408402e-09 1.85977106e-07 1.96646832e-07
1.36410851e+00 6.17598464e-09 1.87385556e-07 1.97803298e-07
1.36894577e+00 6.19788539e-09 1.88812939e-07 1.98969491e-07
1.37378304e+00 6.21978614e-09 1.90258717e-07 2.00145111e-07
1.37862030e+00 6.24168651e-09 1.91722335e-07 2.01329848e-07
1.38345756e+00 6.26358726e-09 1.93203232e-07 2.02523394e-07
1.38829483e+00 6.28548775e-09 1.94700827e-07 2.03725427e-07
1.39313209e+00 6.30738863e-09 1.96214530e-07 2.04935622e-07
1.39796936e+00 6.32928925e-09 1.97743737e-07 2.06153648e-07
1.40280662e+00 6.35118949e-09 1.99287835e-07 2.07379172e-07
1.40764389e+00 6.37309011e-09 2.00846201e-07 2.08611856e-07
1.41248115e+00 6.39499074e-09 2.02418200e-07 2.09851355e-07
1.41731841e+00 6.41689161e-09 2.04003188e-07 2.11097323e-07
1.42215568e+00 6.43879224e-09 2.05600510e-07 2.12349409e-07
1.42699294e+00 6.46069286e-09 2.07209511e-07 2.13607265e-07
1.43183021e+00 6.48259335e-09 2.08829520e-07 2.14870533e-07
1.43666747e+00 6.50449410e-09 2.10459862e-07 2.16138856e-07
1.44150474e+00 6.52639485e-09 2.12099854e-07 2.17411875e-07
1.44634200e+00 6.54829522e-09 2.13748810e-07 2.18689232e-07
1.45117926e+00 6.57019597e-09 2.15406037e-07 2.19970563e-07
1.45601653e+00 6.59209659e-09 2.17070836e-07 2.21255507e-07
1.46085379e+00 6.61399747e-09 2.18742504e-07 2.22543699e-07
1.46569106e+00 6.63589848e-09 2.20420339e-07 2.23834780e-07
1.47052832e+00 6.65779884e-09 2.22103630e-07 2.25128387e-07
1.47536558e+00 6.67969959e-09 2.23791666e-07 2.26424156e-07
1.48020285e+00 6.70160060e-09 2.25483734e-07 2.27721726e-07
